white,black,hispanic
0.257207607,0.319685279,0.27881072900000003
0.23795599,0.367417022,0.258689269
0.28973348600000004,0.531396867,0.334881452
0.410964227,0.820135555,0.49431485399999997
0.520566916,0.992766556,0.566943408
0.526394252,1.033921731,0.575750858
0.533777396,1.040264324,0.5892720650000001
0.543609333,1.086011075,0.591068826
0.5554469759999999,1.099017139,0.6193451059999999
0.578476209,1.1175257360000002,0.6309675659999999
0.636858002,1.2345745320000001,0.706468608
0.652494312,1.255691989,0.7313286529999999
0.6722724179999999,1.2895521580000002,0.76909409
0.700809245,1.327179959,0.809158747
0.7136106019999999,1.340961321,0.823507492
0.730569866,1.371867968,0.854344552
0.74647692,1.3767030299999998,0.8706965289999999
