year,HS,SC,BAp,BAo,GD
1960,0.313030864434383,0.3030694829533874,0.39837939224235314,0.39837939224235314,0.0
1970,0.291284963547695,0.2885329253384122,0.34814367064165763,0.34814367064165763,0.0
1980,0.3479346979343757,0.3786480902852888,0.4345404564327359,0.4345404564327359,0.0
1990,0.5496278877858521,0.49693483401771743,0.5806082371561012,0.5989265000229583,0.5353056835881865
2000,0.691712795548847,0.624854126487298,0.6760432200073526,0.7054783136753364,0.6115700661493226
2001,0.693739357298054,0.6331617744809088,0.6753367326285472,0.7044410300476307,0.6090717856071282
2002,0.7017252904774629,0.6469015053124665,0.6755991163677962,0.7029402726157898,0.6141236813587073
2003,0.7162687701737861,0.6654731018595601,0.6861486060590558,0.7259586254153451,0.5959365063655445
2004,0.740085600961693,0.6665706162198107,0.696800561011111,0.737720252091687,0.6059184966101404
2005,0.771784247226279,0.693549815757567,0.695126445236139,0.738225633126095,0.5978295899921606
2006,0.89470879936741,0.758822944812735,0.746259087828508,0.786205638553944,0.6562326465979198
2007,0.913606386802898,0.785182510778879,0.7547888246681219,0.8027715069646,0.6461495542397102
2008,0.9551234052550781,0.816081647945217,0.772377766912801,0.8214392208861812,0.660250615678398
2009,0.999802475439936,0.8487996651282469,0.7885887015001539,0.8379991188066931,0.672637530748682
2010,1.0232785149387051,0.868179728995039,0.799935148865944,0.854374976652956,0.6778190980610841
2011,1.0573057104122991,0.887282619714959,0.807626855060732,0.862048641582957,0.6844220950011399
2012,1.073143943323367,0.909299312244083,0.823701795070101,0.8822979244426581,0.6950419058917789
